legend_id	source_id	figure_label	length_band	manual_specimen_named	manual_method_modality	manual_scale_magnification	manual_marker_stain_channel	manual_colour_channel_mapping	manual_panel_position_mapping	manual_visual_annotation_explanation
leg_0116a1f7666fcbad	PMC13445723	Fig. 6	mid	P	P	P	P	P	P	N
leg_025a3730ed9837b9	PMC13440337	Figure 1	long	P	P	P	N	N	P	P
leg_02cb03cf890c4635	PMC13443701	Figure 2	short	P	P	P	P	N	P	N
leg_0333724623490433	PMC13440255	Fig. 4	long	P	P	P	P	N	P	P
leg_03bad70f2cb8045f	PMC13446547	FIGURE 3	mid	P	P	N	N	N	P	N
leg_03d3de8421b59a0f	PMC13440470	Fig. 3	short	P	P	N	N	N	N	P
leg_0530d6ee08b3a9d9	PMC13446010	Figure 6	long	P	P	N	P	P	P	P
leg_05914a3fbb8ee409	PMC13444353	FIGURE 4	short	N	N	N	N	N	P	N
leg_0652f133f18e40f4	PMC13444353	FIGURE 1	short	P	P	P	P	P	P	N
leg_06554a69aa1951d8	PMC13440617	Figure 6	mid	P	P	P	P	N	P	P
leg_07512a0f1dfab1f0	PMC13436017	Fig 2	mid	P	P	N	P	N	P	N
leg_09a1fa2a26c9b75d	PMC13437378	Figure 3	short	P	P	P	P	N	P	N
leg_0c476428f738270b	PMC13444073	Fig. 1	short	P	P	N	N	N	P	N
leg_0cac26b6bf0de367	PMC13444109	Fig. 3	mid	P	P	N	P	N	P	N
leg_0d00709df7a01f3f	PMC13438394	Fig. 3.	mid	P	P	P	P	P	P	P
leg_0fd88596d62b0256	PMC13441759	Figure 5	short	P	P	P	P	N	P	N
leg_1238f7b2a4f2c925	PMC13443389	Figure 3.	mid	N	N	N	N	N	N	N
leg_128e1e0ba311211e	PMC13445747	Fig. 1	mid	P	P	P	P	P	P	P
leg_12dd8a02fd5e061e	PMC13442668	Figure 7	short	P	P	P	P	N	N	N
leg_12e78033ab0e2c7b	PMC13440390	Fig. 4.	short	P	P	N	P	N	P	N
leg_155d466cb43927c3	PMC13443325	Fig. 1	short	P	P	P	P	N	P	N
leg_1587a7106db09d5d	PMC13441968	Fig. 4	long	P	P	P	P	N	P	N
leg_1696cab25591253e	PMC13443504	Fig. 16	short	P	P	N	N	N	N	N
leg_174c09a93ce3050f	PMC13438141	Fig. 1	long	P	P	P	N	N	P	P
leg_181052e3b1c7d84c	PMC13437591	Fig. 6	long	P	P	P	P	P	P	P
leg_18a9814f88d8451c	PMC13441178	Figure 1.	mid	P	P	N	P	P	P	N
leg_193a72c4d06af730	PMC13441125	Fig. 7.	short	P	N	N	N	N	N	N
leg_1a8959af0c8ef1b4	PMC13442771	Fig. 13	short	P	P	N	P	P	P	N
leg_1b942029f6ad5678	PMC12890891	Fig. 3.	mid	P	P	N	P	P	P	P
leg_1d7cfd9cf70126c0	PMC13437767	Fig. 3	mid	P	P	P	P	N	P	P
leg_1e1a6e94deadedcd	PMC13439855	Fig. 5	mid	P	P	P	P	N	P	N
leg_1e680b0c8bc4e766	PMC13438842	Fig. 1	short	P	P	N	P	N	P	N
